current_delta,OR Category L1,OR Category L2,counts,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-4875,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4874,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4861,Clients Products and Business Practices,Advisory Activity,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4837,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4834,Clients Products and Business Practices,Advisory Activity,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4828,Clients Products and Business Practices,Advisory Activity,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4826,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4806,Execution Delivery and Process Management,Contractual Customer Documents,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4806,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4794,Clients Products and Business Practices,Advisory Activity,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4785,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4784,External Fraud,Theft and Fraud (External Fraud),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-4778,Clients Products and Business Practices,Advisory Activity,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4772,Clients Products and Business Practices,Advisory Activity,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4760,Business Disruption and System Failures,Systems Failure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-4746,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-4746,Internal Fraud,Theft and Fraud (Internal Fraud),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-4733,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-4732,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4726,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4725,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4720,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4711,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4707,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4706,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4696,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4682,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4675,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4671,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4670,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4664,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4649,Execution Delivery and Process Management,Monitoring and Reporting,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4637,Employment Practices and Workplace Safety,Human Resources Management,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4633,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4594,Clients Products and Business Practices,Advisory Activity,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4592,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4572,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4562,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4561,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4552,Employment Practices and Workplace Safety,Human Resources Management,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4532,Clients Products and Business Practices,Advisory Activity,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4532,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4532,Internal Fraud,Unauthorised Activity,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-4502,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4500,Execution Delivery and Process Management,Clients' Accounts Management,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4500,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4481,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4473,Clients Products and Business Practices,Improper Business or Market Practices,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4473,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4469,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4467,Clients Products and Business Practices,Advisory Activity,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4461,Clients Products and Business Practices,Improper Business or Market Practices,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4446,Execution Delivery and Process Management,Monitoring and Reporting,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4439,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4430,Clients Products and Business Practices,Advisory Activity,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4412,Execution Delivery and Process Management,Contractual Customer Documents,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4398,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4392,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4389,Clients Products and Business Practices,Advisory Activity,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4382,Clients Products and Business Practices,Defective Products,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
